Country,Year,pop_n,pop_u,wat_bas_n,wat_lim_n,wat_unimp_n,wat_sur_n,wat_bas_r,wat_lim_r,wat_unimp_r,wat_sur_r,wat_bas_u,wat_lim_u,wat_unimp_u,wat_sur_u,Population_Density,Birth_Rate,Child_Mortality
Israel,2020,8655.541016,92.58699799,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0,425.836414048059,19.2,3.4435
Austria,2015,8678.666992,57.71500015,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0,104.734597673291,9.8,3.6707
Austria,2020,9006.400391,58.7480011,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0,108.057004362579,9.4,3.623
Romania,2020,19237.68164,54.19400024,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0,83.7328320584145,10.3,6.6969
Romania,2015,19925.18164,53.88699722,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0,86.1248956884562,10.2,9.2179
France,2015,64453.19531,79.65499878,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0,121.536702115031,12.0,4.1597
Thailand,2020,69799.97656,51.43000031,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0,139.90421421441,9.182,8.6284
Netherlands,2020,17134.87305,92.23600006,99.99999929,0.0,7.12408621e-07,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0,518.013068013068,9.7,4.0549
Chile,2020,19116.20898,87.72699738,99.99999872,0.0,1.277139333e-06,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0,25.9576117773008,11.834,6.8532
Netherlands,2015,16938.49219,90.17299652,99.99999856,0.0,1.441336238e-06,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0,503.116216216216,10.1,4.063
United Kingdom,2020,67886.00781,83.90299988,99.99999856,0.0,1.43853282e-06,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0,277.27538544207,10.1,4.2607
France,2020,65273.51172,80.97499847,99.9999985,0.0,1.49610841e-06,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0,123.404699419421,10.9,4.3681
Denmark,2015,5688.694824,87.52600098,99.99999785,0.0,2.145840412e-06,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0,142.087075,10.2,4.0771
Belgium,2015,11287.93066,97.87599945,99.9999977,0.0,2.298024512e-06,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0,372.33143989432,10.8,4.0785
Andorra,2015,77.99299622,88.34499359,99.99999755,0.0,2.445538357e-06,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0,152.651063829787,,3.5254
Hungary,2020,9660.349609,71.94200134,99.99999747,0.0,2.527244192e-06,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0,106.839239535393,9.6,4.0488
New Zealand,2015,4614.526855,86.34099579,99.99999735,0.0,2.645348403e-06,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0,17.5056017621815,13.23,5.5049
Iceland,2020,341.25,93.897995,99.99999721,0.0,2.794650015e-06,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0,3.63446394922146,12.3,2.6658
Finland,2015,5481.12793,85.22499847,99.99999666,0.0,3.34065308e-06,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0,18.0301108880919,10.1,2.4871
Belgium,2020,11589.61621,98.07899475,99.99999645,0.0,3.554796791e-06,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0,381.063540290621,9.9,4.1138
Norway,2020,5421.242188,82.97399139,99.9999955,0.0,4.503407453e-06,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0,14.7672152298338,9.8,2.2591
Armenia,2020,2963.233887,63.31299973,99.97118069,0.0,0.02881930801,0.0,100.0,0.0,0.0,0.0,99.95448122,0.0,0.04551878364,0,98.5461187214612,12.455,11.2623
Hungary,2015,9777.924805,70.5,99.97052896,0.0,0.0294710394,0.0,99.90008972,0.0,0.09991028479,0.0,100.0,0.0,0.0,0,107.85698005698,9.4,5.0625
Australia,2015,23932.49805,85.70100403,99.97000567,0.0,0.02999433057,0.0,100.0,0.0,0.0,0.0,99.965,0.0,0.035,0,3.10011259648803,12.9,3.8723
Australia,2020,25499.88086,86.24099731,99.96981182,0.0,0.03018817873,0.0,100.0,0.0,0.0,0.0,99.965,0.0,0.035,0,3.33452695130798,11.5,3.7397
Poland,2020,37846.60547,60.04300308,99.96659155,0.0,0.03340844529,0.0,100.0,0.0,0.0,0.0,99.94435484,0.0,0.05564516129,0,123.800574919152,9.4,4.3554
Spain,2015,46671.91797,79.60199738,99.92672046,0.0,0.07327954441,0.0,100.0,0.0,0.0,0.0,99.90794521,0.0,0.09205479452,0,92.9526859210545,9.0,3.3161
Spain,2020,46754.78125,80.80999756,99.92561261,0.0,0.07438739142,0.0,100.0,0.0,0.0,0.0,99.90794521,0.0,0.09205479452,0,94.815383748924,7.2,3.1129
Luxembourg,2015,566.7410278,90.17900085,99.92517066,0.0,0.07482934002,0.0,99.23809524,0.0,0.7619047619,0.0,100.0,0.0,0.0,0,221.251835336342,10.7,2.7749
Portugal,2020,10196.70703,66.30999756,99.91199367,0.0,0.08800633369,0.0,99.73877609,0.0,0.2612239122,0.0,100.0,0.0,0.0,0,112.406676011074,8.2,3.278
Portugal,2015,10368.3457,63.51399994,99.90468984,0.0,0.095310157,0.0,99.73877609,0.0,0.2612239122,0.0,100.0,0.0,0.0,0,113.072519583956,8.3,3.6506
Brunei Darussalam,2020,437.4830017,78.25000763,99.9000368,0.0,0.09996320036,0.0,,,,,99.65,0.0,0.35,0,83.8187855787476,14.165,11.5018
